City,Address,Geolocation,Latitude
Lethbridge City Hall,"910 4 Ave S, Lethbridge, AB T1J 0P6","Lat, Lon: 49.69, -112.82",49.69
Calgary City Hall,"800 Macleod Trail SE, Calgary, AB T2P 2M5","Lat, Lon: 51.05, -114.06",51.05
Lacombe City Hall,"5432 56 Ave, Lacombe, AB T4L 1E9","Lat, Lon: 52.49, -113.74",52.49
Edmonton City Hall," 1 Sir Winston Churchill Square; Edmonton, Alberta, Canada; T5J 2R7","Lat, Lon: 53.53, -113.5",53.53
High Praire City Hall,"4806 53 Ave, High Prairie, AB T0G 1E0","Lat, Lon: 55.45, -116.5",55.45
High Level City Hall,"10511 103 St, High Level, AB T0H 1Z0","Lat, Lon: 58.53, -117.14",58.53
